"","sample_ID","species","tissue","time","time_unit"
"DR111_dre_brain_42_months","DR111_dre_brain_42_months","dre","brain","42","months"
"DR112_dre_brain_42_months","DR112_dre_brain_42_months","dre","brain","42","months"
"DR113_dre_brain_42_months","DR113_dre_brain_42_months","dre","brain","42","months"
"DR116_dre_brain_42_months","DR116_dre_brain_42_months","dre","brain","42","months"
"DR117_dre_brain_42_months","DR117_dre_brain_42_months","dre","brain","42","months"
"DR119_dre_brain_12_months","DR119_dre_brain_12_months","dre","brain","12","months"
"DR120_dre_brain_12_months","DR120_dre_brain_12_months","dre","brain","12","months"
"DR121_dre_brain_12_months","DR121_dre_brain_12_months","dre","brain","12","months"
"DR122_dre_brain_12_months","DR122_dre_brain_12_months","dre","brain","12","months"
"DR124_dre_brain_12_months","DR124_dre_brain_12_months","dre","brain","12","months"
"DR132_dre_brain_24_months","DR132_dre_brain_24_months","dre","brain","24","months"
"DR133_dre_brain_24_months","DR133_dre_brain_24_months","dre","brain","24","months"
"DR134_dre_brain_24_months","DR134_dre_brain_24_months","dre","brain","24","months"
"DR135_dre_brain_24_months","DR135_dre_brain_24_months","dre","brain","24","months"
"DR136_dre_brain_24_months","DR136_dre_brain_24_months","dre","brain","24","months"
"DR145_dre_brain_36_months","DR145_dre_brain_36_months","dre","brain","36","months"
"DR146_dre_brain_36_months","DR146_dre_brain_36_months","dre","brain","36","months"
"DR147_dre_brain_36_months","DR147_dre_brain_36_months","dre","brain","36","months"
"DR148_dre_brain_36_months","DR148_dre_brain_36_months","dre","brain","36","months"
"DR149_dre_brain_36_months","DR149_dre_brain_36_months","dre","brain","36","months"
